The South American Crustal Structure Database

23.41S	6	0	3.1	0		37.93	0.8	0	SAC-AN	8	R
70.38W	6.2	0	6.38	3.1		37.93	MCz	7	94W.1	O	RO
	6.7	0	7.76	9.48							
	7.2	0	5.17	17.24							
	6.2	0	5.18	22.41	l						
	7.6	0	3.1	27.59							
	6.2	0	7.24	30.69	l						
	8.3	0	0	37.93	m						
											
22.08S	5.8	0	3.1	0		41.38	-0.1	0	SAC-AN	8	R
70.21W	6.2	0	7.24	3.1		41.38	MCz	7	94W.1	O	RO
	6.7	0	3.45	10.34							
	7	0	8.62	13.79							
	6.2	0	7.76	22.41	l						
	7.6	0	4.31	30.17							
	6.4	0	6.9	34.48	l						
	8.3	0	0	41.38	m						
											
21.08S	5.5	0	3.45	0		42.24	0.9	0	SAC-AN	7	R
70.09W	6.4	0	10.34	3.45		42.24	MCz	7	94W.1	O	RO
	7	0	7.76	13.79							
	6.2	0	9.48	21.55	l						
	7.4	0	3.45	31.03							
	6.4	0	7.76	34.48	l						
	8.2	0	0	42.24	m						
											
22.24S	5.9	0	8.2	0		49.18	1.2	0	SAC-AN	7	R
69.71W	6.7	0	6.55	8.2		49.18	MCz	90	94W.1	O	RO
	6.9	0	4.1	14.75							
	6.7	0	9.02	18.85	l						
	7.2	0	4.92	27.87							
	6.6	0	16.39	32.79	l						
	8.2	0	0	49.18	m						
											
22.24S	5.2	0	4.92	0		63.93	2.6	0	SAC-AN	7	R
68.91W	6.1	0	16.39	4.92		63.93	MCz	90	94W.1	O	RO
	6.5	0	6.56	21.31							
	6.7	0	9.02	27.87							
	7.2	0	5.73	36.89							
	6	0	21.31	42.62	l						
	8.2	0	0	63.93	m						
											
21.14S	6	0	10.73	0		52.29	2.1	0	SAC-AN	5	R
69.26W	4.5	0	5.86	10.73	l	52.29	MCz	92	94W.1	O	RO
	6.9	0	8.78	16.59							
	6.5	0	26.92	25.37	l						
	7.9	0	5.73	52.29	m						
											
21.19S	5.6	0	10	0		68	4	0	SAC-AN	6	R
66.74W	5.9	0	8	10		68	MCz	91	94W.1	O	RO
	6.4	0	5	18							
	6.1	0	38	23	l						
	6.9	0	7	61							
	8.1	0	0	68	m						
											
21.24S	5.5	0	2.9	0		59.03	3	0	SAC-AN	7	R
65.30W	5.5	0	3.39	2.9	g	59.03	MCz	91	94W.1	O	RO
	5.9	0	12.1	6.29	g						
	6.8	0	3.87	18.39							
	6.1	0	26.13	22.26	l						
	6.9	0	10.64	48.39							
	8.2	0	0	59.03	m						
											
21.27S	5.5	0	2.9	0		45.48	1	0	SAC-AN	7	R
64.27W	5.5	0	2.9	2.9	g	45.48	MCz	91	94W.1	O	RO
	5.9	0	8.72	5.8	g						
	6.8	0	4.83	14.52							
	6.2	0	14.52	19.35	l						
	6.9	0	11.61	33.87							
	8.2	0	0	45.48	m						
											
21.30S	3.6	0	4.84	0	s	36.77	0.5	0	SAC-BR	6	R
63.35W	5.1	0	8.32	4.84		41.61	MCz	91	94W.1	B	AS
	5.9	0	5.23	13.16							
	6.2	0	10.64	18.39							
	6.7	0	12.58	29.03							
	8.2	0	0	41.61	m						
											
17.26S	1.5	0	1.49	0	sg	0	0.2	0	SAC-AM	7	F
64.37W	4	0	1.49	1.49	sg	7	MCz	29	02H.4	O	RO
	2	0	0.26	2.98	sg						
	4.5	0	0.26	3.24	sg						
	3	0	1.75	3.5	sg						
	5.7	0	1.75	5.25	sg						
	5.7	0	0	7	c						
											
17.10S	1.5	0	1.38	0	sg	0	0.2	0	SAC-AM	7	F
64.29W	4	0	1.38	1.38	sg	4.86	MCz	29	02H.4	B	AS
	2	0	0.27	2.76	sg						
	4.5	0	0.27	3.03	sg						
	3	0	0.78	3.3	sg						
	5.7	0	0.78	4.08	sg						
	5.7	0	0	4.86	c						
											
16.94S	1.5	0	0.8	0	sg	0	0.3	0	SAC-AM	7	F
63.95W	4	0	0.8	0.8	sg	3.24	MCz	1.45	02H.4	B	AS
	2	0	0.24	1.6	sg						
	4.5	0	0.24	1.84	sg						
	3	0	0.58	2.08	sg						
	5.7	0	0.58	2.66	sg						
	5.7	0	0	3.24	c						
											
9.64N	5.1	2.87	8.2	0		36	-0.1	0	NAC-CE	6	E
84.93W	6.2	3.48	9.7	8.2		36	MCz	999	95P.1	O	RO
	6.66	3.74	18	17.9							
	7.5	4.21	0.1	35.9	cg						
	7.69	4.32	17.8	36	mg						
	7.79	4.38	16.2	53.8	m						
											
9.75N	5.1	0	5	0	g	35	1.1	0	NAC-CE	6	E
84.25W	6	0	10	5	g	35	MCz	999	96P.1	O	RO
	6.5	0	10	15	g						
	6.65	0	10	25	g						
	7.7	0	20	35	mg						
	7.8	0	15	55	mg						
											
9.77N	5.9	3.45	25	0		35	0.5	0	NAC-CE	3	E
83.29W	6.6	3.8	10	25		35	MCz	999	93F.1	O	RO
	7.9	4.6	0	35	m						
											
9.77N	5.9	3.4	28	0		28	0.5	0	NAC-CE	2	E
83.29W	8.1	4.7	0	28	m	28	MCz	999	93F.1	O	RO
											
9.77N	5.8	3.4	20	0		28	0.5	0	NAC-CE	3	E
83.29W	6.2	3.6	8	20		28	MCz	999	93F.1	O	RO
	8.1	4.7	0	28	m						
											
9.77N	2.5	1.5	3.5	0		28	0.5	0	NAC-CE	4	E
83.29W	5.8	3.3	14.5	3.5		28	MCz	999	93F.1	O	RO
	6.2	3.6	10	18							
	8.1	4.7	0	28	m						
											
12.10N	2.9	0	0.6	0		1.6	0.2	0	NAC-CA	3	E
86.26W	3.6	0	1	0.6		1.6	MCz	999	77M.2	O	RO
	4.5	0	0	1.6							
											
14.09N	5.69	0	9.6	0	s	27.8	1.1	0	NAC-CA	4	E
76.16W	6.14	0	14.6	9.6	c	37.4	MCz	999	82K.1		
	6.8	0	13.2	24.2	c						
	8	0	0	37.4	m						
											
11.55N	2.15	0	1.13	0	s	9.71	-5.1	0	NPO-MD	3	S
88.12W	6.65	0	9.71	1.13	c	10.84	MCz	115.3	61S.4	O	RO
	8.6	0	0	10.84	m						
											
11.55N	2.15	0	1	0	s	8.7	-5.1	0	NPO-MD	4	S
88.12W	5.74	0	1	1	c	9.7	MCz	115.3	61S.4	O	RO
	6.75	0	7.7	2	c						
	8.11	0	0	9.7	m						
											
14.03N	1.8	0	0.3	0	s	14.5	-4	0	CGM-CO	4	R
74.48W	4.3	0	1.5	0.3	c	14.8	MCz	216.4	60E.1		
	6.3	0	13	1.8	c						
	8	0	0	14.8	m						
											
13.77N	1.8	0	1	0	s	11.8	-4	0	CGM-CO	4	R
74.68W	4.3	0	2.8	1	c	12.8	MCz	216.4	60E.1		
	6.3	0	9	3.8	c						
	8	0	0	12.8	m						
											
11.60N	1.8	0	0.5	0	s	5.6	-2.9	0	CGM-CO	5	R
76.02W	2.1	0	2.1	0.5	s	12.4	MCz	245.6	60E.1	O	RO
	3.5	0	4.2	2.6	s						
	6.8	0	5.6	6.8	c						
	7.8	0	0	12.4	m						
											
11.45N	1.8	0	0.6	0	s	7.2	-3.1	0	CGM-CO	5	R
76.36W	2.1	0	2	0.6	s	12.6	MCz	245.6	60E.1		
	3.5	0	2.8	2.6	s						
	6.8	0	7.2	5.4	c						
	7.8	0	0	12.6	m						
											
11.34N	1.8	0	0.6	0	s	3.8	-2.4	0	CGM-CO	5	R
75.76W	2.1	0	1.7	0.6	s	12.1	MCz	211.4	60E.1	O	RO
	3.6	0	6	2.3	s						
	6.7	0	3.8	8.3	c						
	8.1	0	0	12.1	m						
											
11.25N	1.8	0	0.5	0	s	5.7	-2.3	0	CGM-CO	5	R
75.82W	2.1	0	1.8	0.5	s	12.9	MCz	211.4	60E.1	O	RO
	3.6	0	4.9	2.3	s						
	6.7	0	5.7	7.2	c						
	8.1	0	0	12.9	m						
											
11.42N	2	0	1.4	0	s	13.4	-3.5	0	CGM-CO	5	R
77.74W	4.6	0	1.7	1.4	s	16.5	MCz	22.1	60E.1		
	6.1	0	3.6	3.1	c						
	7	0	9.8	6.7	c						
	8.2	0	0	16.5	m						
											
11.58N	2	0	1.5	0	s	12.6	-3.6	0	CGM-CO	5	R
77.67W	4.6	0	1.8	1.5	s	15.9	MCz	22.1	60E.1		
	6.1	0	2.5	3.3	c						
	7	0	10.1	5.8	c						
	8.2	0	0	15.9	m						
											
12.89N	2	0	1.6	0	s	2.3	-3.9	0	CGM-CO	4	R
77.54W	4.6	0	1.3	1.6	s	5.2	MCz	351.7	60E.1		
	5.8	0	2.3	2.9	c						
	7	0	0	5.2	c						
											
13.61N	2	0	1.3	0	s	2.5	-4.1	0	CGM-CO	4	R
77.65W	4.6	0	1.4	1.3	s	5.2	MCz	351.7	60E.1		
	5.8	0	2.5	2.7	c						
	7	0	0	5.2	c						
											
14.77N	1.7	0	0.8	0	s	0	-2	0	CGM-CO	3	R
78.27W	4.4	0	2	0.8	s	2.8	MCz	321.2	60E.1		
	6.3	0	0	2.8	c						
											
14.96N	1.7	0	0.7	0	s	0	-2.2	0	CGM-CO	3	R
78.43W	4.4	0	3	0.7	s	3.7	MCz	321.2	60E.1		
	6.3	0	0	3.7	c						
											
53.30S	5.2	0	7.5	0	g	32	-0.04	103	SAC-CH	4	R
72.00W	5.9	0	7.5	7.5	g	32	MCz	70	65L.2	O	RO
	6.7	0	17	15	c						
	8	0	0	32	m						
											
52.75S	2.25	0	0.67	0	s	24.53	0.01	103	SAC-CH	7	R
70.62W	2.85	0	1.11	0.67	s	30.22	MCz	11	65L.2	B	AS
	3.46	0	1.33	1.78	s						
	4.28	0	2.58	3.11	s						
	5.85	0	10.31	5.69							
	6.7	0	14.22	16							
	7.95	0	0	30.22	m						
											
53.90S	2.97	0	0.36	0	s	31.33	-0.16	102	SAC-CH	5	R
70.92W	4.04	0	1.42	0.36	s	33.11	MCz	11	65L.2	O	RO
	5.18	0	15.78	1.78							
	6.7	0	15.55	17.56							
	7.95	0	0	33.11	m						
											
24.42S	2.5	0	0.2	0	s	6.7	0	0	SPO-CH	9	I
71.70W	4.5	0	0.4	0.2	cg	6.9	MCz	90	04R.1		
	5.25	0	0.7	0.6	cg						
	5.75	0	1.6	1.3	cg						
	6	0	1.8	2.9	cg						
	6.5	0	0.9	4.7	cg						
	6.75	0	0.8	5.6	cg						
	7	0	0.5	6.4	cg						
	7.5	0	0	6.9	m						
											
8.70N	1.6	0	0.3	0	sg	6.8	-2.8	0	NPO-CO	9	R
85.10W	2	0	0.3	0.3	sg	7.9	MCz	32	96Y.2		
	3	0	0.25	0.6	sg						
	3.5	0	0.25	0.85	sg						
	5	0	0.65	1.1	cg						
	5.5	0	0.65	1.75	cg						
	6	0	2.75	2.4	cg						
	7.2	0	2.75	5.15	cg						
	8.1	0	0	7.9	m						
											
9.90N	1.6	0	0.8	0	g	14.5	-2	0	NPO-GU	10	R
86.00W	2.1	0	0.8	0.8	g	14.5	MCz	44	96Y.2	O	RO
	4.7	0	3.15	1.6	g						
	5.2	0	3.15	4.75	g						
	3.5	0	0.3	7.9	l						
	5	0	0.75	8.2	lg						
	5.5	0	0.75	8.95	cg						
	6	0	2.4	9.7	cg						
	7.2	0	2.4	12.1	cg						
	8.1	0	0	14.5	m						
											
9.50N	1.6	0	0.2	0	g	14	-1	0	NPO-GU	12	R
85.40W	1.8	0	0.2	0.2	g	14	MCz	39	96Y.2	O	RO
	2.1	0	1.35	0.4	g						
	2.7	0	1.35	1.75	g						
	5	0	2.1	3.1	g						
	5.4	0	2.1	5.2	g						
	3	0	0.6	7.3	l						
	5	0	1.3	7.9	cg						
	5.5	0	1.3	9.2	cg						
	6	0	1.75	10.5	cg						
	7.2	0	1.75	12.25	cg						
	8.1	0	0	14	m						
											
9.50N	1.7	0	0.45	0	g	20.1	0	0	NAC-CE	12	R
84.60W	2.2	0	0.45	0.45	g	20.1	MCz	142	96Y.2	O	RO
	2.8	0	0.55	0.9	g						
	2.9	0	0.55	1.45	g						
	4.9	0	4.9	2	g						
	5.5	0	4.9	6.9	g						
	4	0	0.5	11.8	l						
	5	0	0.85	12.3	cg						
	5.5	0	0.85	13.15	cg						
	6	0	3.05	14	cg						
	7.2	0	3.05	17.05	cg						
	8.1	0	0	20.1	m						
											
32.78S	2	0	0.4	0	s	5.7	-4.2	0	SPO-PC	5	U
73.10W	5.7	0	0.3	0.4	c	6.1	MCz	90	97V.1	O	RO
	6.2	0	2.7	0.7	cg						
	7.1	0	2.7	3.4	cg						
	8	0	0	6.1	m						
											
32.78S	2.1	0	7.2	0	s	14.8	-2.5	0	SPO-PC	10	R
72.18W	5.3	0	0.85	7.2	cg	22	MCz	90	97V.1	O	RO
	5.9	0	0.85	8.05	cg						
	6.4	0	3.95	8.9	cg						
	6.8	0	3.95	12.85	cg						
	2.3	0	1.1	16.8	l						
	5.7	0	0.9	17.9	l						
	6.3	0	1.6	18.8	cg						
	6.9	0	1.6	20.4	cg						
	7.9	0	0	22	m						
											
33.30S	2.3	0	0.2	0	s	4.6	-4.6	0	SPO-PC	4	U
73.13W	6.7	0	2.3	0.2	cg	4.8	MCz	104.7	97V.1	O	RO
	7.3	0	2.3	2.5	cg						
	7.9	0	0	4.8	m						
											
33.53S	2.4	0	2.6	0	s	22.7	-0.8	0	SPO-PC	9	R
72.08W	5.5	0	4.3	2.6	cg	25.3	MCz	104.7	97V.1	O	RO
	5.8	0	4.3	6.9	cg						
	6.1	0	4.1	11.2	cg						
	6.3	0	4.1	15.3	cg						
	2.5	0	1.3	19.4	l						
	6.1	0	2.3	20.7	lg						
	6.6	0	2.3	23	cg						
	7.9	0	0	25.3	m						
											
10.41N	3.4	0	2.4	0	s	34.8	0.1	0	NAC-CE	7	R
85.39W	5.5	0	4.3	2.4	c	37.2	MCz	45	99S.2	O	RO
	6.2	0	6	6.7	cg						
	6.4	0	6	12.7	cg						
	6.8	0	9.25	18.7	cg						
	7.3	0	9.25	27.95	cg						
	8	0	0	37.2	m						
											
10.80N	2.3	0	1.4	0	s	37.1	0.2	0	NAC-CE	7	R
85.00W	5.5	0	4	1.4	c	38.5	MCz	45	99S.2	O	RO
	6.2	0	7.3	5.4	cg						
	6.6	0	7.3	12.7	cg						
	6.9	0	9.25	20	cg						
	7.4	0	9.25	29.25	c						
	8.1	0	0	38.5	m						
											
25.00S	3.5	0	3.8	0	s	10	-5.7	0	SPO-PC	6	U
71.35W	6.1	0	1.25	3.8	cg	13.8	MCz	90	99P.1	O	RO
	6.15	0	1.25	5.05	cg						
	6.5	0	3.7	6.3	cg						
	7.3	0	3.8	10	cg						
	8.1	0	0	13.8	m						
											
23.50S	4.5	0	5	0	g	10	-5	0	SPO-CH	3	R
71.75W	7.2	0	5	5	g	10	MCz	90	99P.1		
	8.1	0	0	10	m						
											
23.50S	3.5	0	3	0	s	13.8	-2.8	0	SPO-PC	6	R
70.80W	6.25	0	1.3	3	c	16.8	MCz	90	99P.1	O	RO
	5.8	0	2.5	4.3	l						
	5.5	0	5	6.8	lg						
	7.2	0	5	11.8	cg						
	8.1	0	0	16.8	m						
											
22.20S	3.5	0	1.9	0	s	23.3	-2.4	0	SPO-PC	7	R
70.70W	6	0	3.7	1.9	cg	25.2	MCz	90	99P.1	O	RO
	6.5	0	3.7	5.6	cg						
	7	0	7.3	9.3	c						
	6.5	0	4.3	16.6	lg						
	7.2	0	4.3	20.9	cg						
	8.1	0	0	25.2	m						
											
21.10S	4.5	0	3.7	0	g	7.5	-5.9	0	SPO-PC	3	R
71.35W	7.2	0	3.8	3.7	g	7.5	MCz	90	99P.1	O	RO
	8.1	0	0	7.5	m						
											
21.10S	3.5	0	3.2	0	s	27.6	-2.7	0	SPO-PC	7	R
70.75W	6	0	5.3	3.2	cg	30.8	MCz	90	99P.1	O	RO
	6.5	0	5.3	8.5	cg						
	7	0	8.6	13.8	c						
	6.5	0	4.2	22.4	lg						
	7.2	0	4.2	26.6	cg						
	8.1	0	0	30.8	m						
											
21.10S	6	0	12.5	0	cg	53.8	0.9	0	SAC-PB	7	R
69.60W	6.7	0	12.5	12.5	cg	53.8	MCz	73	99P.1	O	RO
	6.8	0	7.5	25	cg						
	6.9	0	14.5	32.5	cg						
	6.5	0	3.4	47	lg						
	7.2	0	3.4	50.4	cg						
	8.1	0	0	53.8	m						
											
20.00S	3.5	0	3.8	0	s	14.5	-4.3	0	SPO-PC	5	U
71.05W	6.05	0	7	3.8	c	18.3	MCz	90	99P.1	O	RO
	5.5	0	3.7	10.8	lg						
	7.3	0	3.8	14.5	cg						
	8.1	0	0	18.3	m						
											
19.70S	4.5	0	3.5	0	g	7	-4.5	0	SPO-PC	3	U
71.17W	7.2	0	3.5	3.5	g	7	MCz	90	99P.1	O	RO
	8.1	0	0	7	m						
											
19.70S	3.5	0	1.8	0	s	8.6	-7	0	SPO-PC	6	U
71.50W	6	0	0.7	1.8	cg	10.4	MCz	90	99P.1	O	RO
	6.1	0	0.7	2.5	cg						
	5.5	0	3.6	3.2	lg						
	7.3	0	3.6	6.8	cg						
	8.1	0	0	10.4	m						
											
20.00S	3.5	0	1.7	0	s	30.7	-1.2	0	SPO-PC	6	U
70.63W	6.1	0	12.9	1.7	c	32.4	MCz	90	99P.1	O	RO
	6.85	0	10.7	14.6	c						
	6.5	0	3.5	25.3	lg						
	7.3	0	3.6	28.8	cg						
	8.1	0	0	32.4	m						
											
20.30S	3.5	0	2.1	0	s	13.9	-5.4	0	SPO-PC	5	U
71.08W	6.05	0	6.8	2.1	c	16	MCz	90	99P.1	O	RO
	5.5	0	3.6	8.9	cg						
	7.3	0	3.5	12.5	cg						
	8.1	0	0	16	m						
											
20.30S	3.5	0	1.7	0	s	30.9	-1.5	0	SPO-PC	6	U
70.63W	6.1	0	15.4	1.7	c	32.6	MCz	90	99P.1	O	RO
	6.85	0	8.5	17.1	c						
	6.5	0	3.5	25.6	lg						
	7.3	0	3.5	29.1	cg						
	8.1	0	0	32.6	m						
											
21.10S	3.5	0	2.7	0	s	9.2	-4	0	SPO-PC	5	R
70.92W	6.1	0	3	2.7	c	11.9	MCz	90	99P.1		
	5	0	3.1	5.7	lg						
	7.2	0	3.1	8.8	cg						
	8.1	0	0	11.9	m						
											
21.60S	4.5	0	3.4	0	g	6.8	-6.5	0	SPO-PC	3	U
71.25W	7.2	0	3.4	3.4	g	6.8	MCz	90	99P.1	O	RO
	8.1	0	0	6.8	m						
											
21.60S	3.5	0	2.6	0	s	19.5	-3	0	SPO-PC	6	U
70.75W	6.1	0	5.5	2.6	c	22.1	MCz	90	99P.1	O	RO
	6.45	0	7	8.1	c						
	6.5	0	3.5	15.1	cg						
	7.3	0	3.5	18.6	cg						
	8.1	0	0	22.1	m						
											
22.20S	4.5	0	3.7	0	g	7.5	-5	0	SPO-PC	3	R
71.60W	7.2	0	3.8	3.7	g	7.5	MCz	90	99P.1	O	RO
	8.1	0	0	7.5	m						
											
22.20S	3.5	0	0.7	0	s	10	-7.2	0	SPO-PC	5	R
71.16W	6.1	0	1.8	0.7	c	10.7	MCz	90	99P.1	O	RO
	5	0	4.1	2.5	lg						
	7.2	0	4.1	6.6	cg						
	8.1	0	0	10.7	m						
											
22.28S	3.5	0	0.5	0	s	52.3	1.2	0	SAC-PB	6	R
69.75W	6	0	14	0.5	cg	52.8	MCz	90	99P.1	O	RO
	7.3	0	29.5	14.5	cg						
	6.5	0	4.4	44	lg						
	7.2	0	4.4	48.4	cg						
	8.1	0	0	52.8	m						
											
22.70S	4.5	0	3.5	0	g	7	-6.4	0	SPO-PC	3	U
71.44W	7.2	0	3.5	3.5	g	7	MCz	90	99P.1	O	RO
	8.1	0	0	7	m						
											
22.70S	3.5	0	1.6	0	s	14.2	-5	0	SPO-PC	5	U
71.00W	6.1	0	7	1.6	c	15.8	MCz	90	99P.1	O	RO
	6	0	3.6	8.6	lg						
	7.3	0	3.6	12.2	cg						
	8.1	0	0	15.8	m						
											
23.50S	4.5	0	4.4	0	g	8.8	-7.4	0	SPO-PC	3	R
71.31W	7.2	0	4.4	4.4	g	8.8	MCz	90	99P.1	O	RO
	8.1	0	0	8.8	m						
											
23.50S	3.5	0	1	0	s	34.8	0.5	0	SAC-PB	6	R
70.38W	5.9	0	4.4	1	cg	35.8	MCz	90	99P.1	O	RO
	6.9	0	20.4	5.4	cg						
	6.5	0	5	25.8	lg						
	7.2	0	5	30.8	cg						
	8.1	0	0	35.8	m						
											
23.50S	3.5	0	0.5	0	s	44	1.2	0	SAC-PB	7	R
70.05W	6	0	6.7	0.5	cg	44.5	MCz	90	99P.1	O	RO
	6.6	0	17.2	7.2	cg						
	6.9	0	10.5	24.4	cg						
	6.5	0	4.8	34.9	lg						
	7.2	0	4.8	39.7	cg						
	8.1	0	0	44.5	m						
											
25.00S	4.5	0	3.3	0	g	6.5	-4.5	0	SPO-PC	3	U
71.87W	7.2	0	3.2	3.3	g	6.5	MCz	90	99P.1	P	LT
	8.1	0	0	6.5	m						
											
10.30N	4	0	0.8	0	s	29.8	0.1	0	NAC-CA	11	R
85.50W	5.2	0	3.8	0.8	cg	30.6	MCz	50	01S.1	O	RO
	6	0	3.8	4.6	cg						
	6.1	0	4.5	8.4	cg						
	6.7	0	4.5	12.9	cg						
	6.8	0	6.6	17.4	cg						
	7.2	0	6.6	24	cg						
	7.3	0	1.1	30.6	m						
	6.8	0	3.9	31.7	m						
	7.3	0	3.7	35.6	m						
	8.3	0	0	39.3	m						
											
10.60N	2.1	0	1.8	0	s	36.2	0.6	0	NAC-CA	8	
85.15W	5.3	0	2.1	1.8	cg	38	MCz	50	01S.1	O	RO
	5.9	0	2.1	3.9	cg						
	6.1	0	7	6	cg						
	6.7	0	7	13	cg						
	6.8	0	9	20	cg						
	7.2	0	9	29	cg						
	7.43	0	0	38	mg						
											
9.91N	1.8	0	1.5	0	s	12.3	-1.1	0	NAC-CA	6	R
85.94W	4.4	0	3.85	1.5	cg	13.8	MCz	50	01S.1	O	RO
	5	0	3.85	5.35	cg						
	6.1	0	1.7	9.2	c						
	7	0	2.9	10.9	c						
	8.2	0	0	13.8	m						
											
9.74N	1.8	0	0.9	0	s	7.3	-3.4	0	NPO-MD	5	R
86.12W	4	0	2	0.9	c	8.2	MCz	50	01S.1	O	RO
	5.9	0	2.2	2.9	c						
	6.8	0	3.1	5.1	c						
	8.1	0	0	8.2	m						
											
23.50S	6.2	3.62	64.2	0		64.2	4.2	0	SAC-AL	7	E
67.00W	7.87	4.42	20	64.2	m	64.2	MCz	999	99S.4	O	RO
	7.98	4.45	20	84.2	m						
	8.15	4.45	20	104.2	m						
	8.38	4.87	40	124.2	m						
	8.75	4.87	60	164.2	m						
	8.87	4.95	0	224.2	m						
											
3.78N	3.5	0	1.4	0	s	20.8	1.3	0	SAC-AN	5	U
76.94W	5.5	0	6.6	1.4	s	28.8	MCz	93.2	76M.6	O	RO
	6.1	0	13.4	8	c						
	7.1	0	7.4	21.4	c						
	7.8	0	0	28.8	m						
											
3.80N	3.5	0	9.7	0	s	14	-0.1	0	SAC-PB	6	U
77.39W	6.1	0	14	9.7	c	23.7	MCz	93.2	76M.6	O	RO
	7.8	0	21.4	23.7	m						
	8.35	0	0.9	45.1	m						
	6.8	0	7.7	46	m						
	8.2	0	0	53.7	m						
											
3.83N	3.5	0	10.6	0	s	8	-1.2	0	NPO-PN	5	U
77.84W	6.1	0	8	10.6	c	18.6	MCz	93.2	76M.6	O	RO
	7.8	0	12.6	18.6	m						
	6.8	0	8.3	31.2	m						
	8.2	0	0	39.5	m						
											
3.35N	1.7	0	0.3	0	s	0	-0.2	0	SAC-PB	4	U
77.73W	2.4	0	1.7	0.3	s	8.1	MCz	229.6	76M.6	O	RO
	3.9	0	6.1	2	s						
	6.1	0	0	8.1	c						
											
3.75N	5.52	0	2.9	0	s	31.8	1.1	0	SAC-AN	7	U
76.49W	6.11	0	15.8	2.9	c	34.7	MCz	93.2	76M.6	O	RO
	7.11	0	16	18.7	c						
	7.83	0	18	34.7	m						
	8.37	0	23.7	52.7	m						
	6.83	0	8.1	76.4	m						
	8.22	0	0	84.5	m						
											
1.59N	5.44	0	2	0	g	46.9	2.8	0	SAC-AN	16	U
77.00W	5.48	0	2	2	g	46.9	MCz	15.2	76M.6	O	RO
	6	0	3	4	g						
	6.32	0	3	7	g						
	5.64	0	4.35	10	lg						
	5.88	0	4.35	14.35	lg						
	6.87	0	4.9	18.7	cg						
	7.11	0	4.9	23.6	cg						
	6.45	0	5	28.5	lg						
	6.68	0	5	33.5	lg						
	7.58	0	8.4	38.5	cg						
	7.92	0	8.4	46.9	mg						
	6.96	0	4.9	55.3	mg						
	7.18	0	4.9	60.2	mg						
	8.34	0	17.4	65.1	mg						
	8.52	0	0	82.5	mg						
											
3.18N	5.75	0	1.8	0	g	37.6	1.1	0	SAC-AN	10	U
76.57W	5.91	0	1.8	1.8	g	37.6	MCz	195.2	76M.6		
	5.27	0	4.1	3.6	l						
	6.41	0	3.8	7.7	g						
	6.73	0	3.8	11.5	g						
	6.35	0	6.8	15.3	l						
	6.88	0	3.6	22.1	g						
	7.11	0	3.6	25.7	g						
	6.61	0	8.3	29.3	l						
	7.41	0	0	37.6							
											
3.90N	2	0	0.6	0	s	9	-3.5	0	NPO-PN	4	U
79.19W	5.1	0	1.2	0.6	c	9.6	MCz	93.2	76M.6		
	6.8	0	7.8	1.8	c						
	8.2	0	0	9.6	m						
											
9.80N	4.5	2.56	0.5	0		35	0.3	0	SAC-LL	4	E
67.20W	5.7	3.24	9	0.5		35	MCz	999	91R.1	E	XC
	6.3	3.58	25.5	9.5							
	8.3	0	0	35	m						
											
7.00N	0	3.17	8.4	0		69	1.5	0	SAC-AN	8	E
73.25W	0	3.46	21.5	8.4		69	MCz	999	85G.3	O	RO
	0	3.74	21.3	29.9							
	0	4.11	17.8	51.2							
	0	4.58	6.6	69	m						
	0	4.71	35.4	75.6	m						
	0	4.5	89	111	m						
	0	4.82	0	200	m						
											
2.21N	5.5	3.2	5.6	0	s	60.4	2.5	0	SAC-AN	8	W
76.28W	6.1	3.5	24.3	5.6	c	66	MCz	42.6	77L.5	O	RO
	6.8	3.76	21.9	29.9	c						
	7.44	4.11	14.2	51.8	c						
	7.9	4.5	9.9	66	m						
	8.1	4.61	34	75.9	m						
	7.8	4.44	89.8	109.9	m						
	8.27	4.71	0	199.7	m						
											
3.53N	6	0	27.1	0		42.4	2.2	0	SAC-AN	3	U
76.01W	6.8	0	15.3	27.1		42.4	MCz	100.7	76M.5	O	RO
	8	0	0	42.4	m						
											
3.65N	5.3	0	3.2	0		28.3	0.8	0	SAC-AN	5	R
76.90W	6.8	0	1.8	3.2		28.3	MCz	274.8	76M.5	O	RO
	4	0	7.1	5							
	6.8	0	16.2	12.1							
	8	0	0	28.3	m						
											
3.68N	4	0	14.7	0	s	46.2	0	0	SAC-PB	4	R
77.23W	6.2	0	11.5	14.7	c	60.9	MCz	274.8	76M.5	O	RO
	6.8	0	34.7	26.2	c						
	8	0	0	60.9	m						
											
3.80N	3.7	0	3.2	0		12.9	-3.9	0	NPO-PN	3	U
78.79W	6.8	0	9.7	3.2		12.9	MCz	274.8	76M.5	O	RO
	8	0	0	12.9	m						
											
1.05N	5	0	2	0		43	1.6	0	SAC-AN	4	U
76.60W	6	0	22.2	2		43	MCz	92.1	76M.5	O	RO
	6.8	0	18.8	24.2							
	8	0	0	43	m						
											
1.29N	5	0	6.4	0		47.7	3	0	SAC-AN	4	R
77.53W	6	0	20.1	6.4		47.7	MCz	299.6	76M.5	O	RO
	6.8	0	21.2	26.5							
	8	0	0	47.7	m						
											
1.90N	4	0	9.7	0	s	34.6	0	0	SAC-PB	4	R
78.60W	6.2	0	20	9.7	c	44.3	MCz	299.6	76M.5	O	RO
	6.8	0	14.6	29.7	c						
	8	0	0	44.3	m						
											
2.69N	3.2	0	4.3	0		11.2	-2.4	0	NPO-PN	3	U
